종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지
364990,2,TIGER KRX게임K-뉴딜,12510,2,180,1.46,12540.0,32.3671,120199,1491,413,국내 업종/테마,TIGER,False,False,False
356540,6,KINDEX KIS종합채권(AA-이상)액티브,99200,3,0,0.0,99218.0,-0.5913,0,0,397,채권,KINDEX,False,False,False
139250,2,TIGER 200 에너지화학,22715,2,255,1.14,22726.0,61.3505,24617,555,391,국내 업종/테마,TIGER,False,False,False
304770,1,HANARO 코스닥150,14980,2,55,0.37,15065.0,22.4364,1252,18,377,국내 시장지수,HANARO,False,False,False
228810,2,TIGER 미디어컨텐츠,6845,2,105,1.56,6841.0,30.2415,206947,1407,376,국내 업종/테마,TIGER,False,False,False
371450,4,TIGER 글로벌클라우드컴퓨팅INDXX,11410,2,180,1.6,,,126931,1446,374,해외 주식,TIGER,False,False,False
169950,4,KODEX 중국본토 A50,24840,2,180,0.73,,18.7861,20830,514,373,해외 주식,KODEX,False,False,False
363570,6,KODEX 장기종합채권(AA-이상)액티브KAP,98050,3,0,0.0,98056.0,-1.2787,0,0,371,채권,KODEX,False,False,False
099140,4,KODEX China H,23075,2,25,0.11,,14.4204,7684,176,369,해외 주식,KODEX,False,False,False
306520,3,HANARO 200선물인버스,8865,5,-80,-0.89,8868.0,-29.5947,18621,165,368,국내 파생,HANARO,True,False,False
304940,4,KODEX 미국나스닥100선물(H),17245,2,300,1.77,,19.9221,52765,907,354,해외 주식,KODEX,False,False,True
329750,6,TIGER 미국달러단기채권액티브,9555,5,-15,-0.16,,-1.4926,101042,964,353,채권,TIGER,False,False,False
280930,4,KODEX 미국러셀2000(H),13985,2,85,0.61,,38.0337,34927,487,350,해외 주식,KODEX,False,False,True
114100,6,KBSTAR 국고채3년,113565,5,-5,0.0,113569.0,0.3179,1026,116,341,채권,KBSTAR,False,False,False
261250,7,KODEX 미국달러선물레버리지,9035,5,-20,-0.22,9032.0,-2.8955,59849,539,341,기타,KODEX,False,True,False
114470,6,KOSEF 국고채3년,112975,2,60,0.05,112982.0,0.1729,253,28,339,채권,KOSEF,False,False,False
292160,1,TIGER KRX300,19860,2,180,0.91,19862.0,38.7968,430,8,338,국내 시장지수,TIGER,False,False,False
204450,4,KODEX China H 레버리지(H),8195,5,-15,-0.18,,35.7024,34159,277,336,해외 주식,KODEX,False,True,True
289040,2,KODEX MSCI KOREA ESG유니버설,12860,2,115,0.9,12926.0,38.4573,3530,45,334,국내 업종/테마,KODEX,False,False,False
252400,3,KBSTAR 200선물레버리지,25315,2,425,1.71,25347.0,92.1265,42158,1061,329,국내 파생,KBSTAR,False,True,False
203780,4,TIGER 미국나스닥바이오,21190,2,10,0.05,,22.8467,19229,408,318,해외 주식,TIGER,False,False,False
123320,3,TIGER 레버리지,26320,2,460,1.78,26355.0,92.7692,209352,5478,316,국내 파생,TIGER,False,True,False
354500,1,KINDEX 코스닥150,15025,2,85,0.57,15057.0,22.1087,646,9,316,국내 시장지수,KINDEX,False,False,False
316670,1,KOSEF 코스닥150,7460,3,0,0.0,7489.0,22.4958,532,3,307,국내 시장지수,KOSEF,False,False,False
276650,4,KBSTAR 글로벌4차산업IT(합성 H),20730,2,200,0.97,,21.1924,16485,341,290,해외 주식,KBSTAR,False,False,True
250780,3,TIGER 코스닥150선물인버스,4540,5,-10,-0.22,4545.0,-20.4546,894665,4082,288,국내 파생,TIGER,True,False,False
152870,1,파워 200,44035,2,400,0.92,44084.0,40.2152,459,20,286,국내 시장지수,파워,False,False,False
252420,3,KBSTAR 200선물인버스2X,2055,5,-40,-1.91,2052.0,-51.1656,1330950,2752,284,국내 파생,KBSTAR,True,False,False
138230,7,KOSEF 미국달러선물,11745,5,-5,-0.04,11742.0,-1.6408,6072,71,283,기타,KOSEF,False,False,False
361580,1,KBSTAR 200TR,21745,2,200,0.93,21762.0,40.2669,968,20,283,국내 시장지수,KBSTAR,False,False,False
223190,2,KODEX 200가치저변동,10845,2,60,0.56,10901.0,31.4442,17074,184,282,국내 업종/테마,KODEX,False,False,False
269540,4,ARIRANG 미국S&P500(H),15620,2,225,1.46,,15.578,13588,212,281,해외 주식,ARIRANG,False,False,True
217780,4,TIGER 차이나CSI300인버스(합성),7270,5,-30,-0.41,,-17.4209,12928,94,276,해외 주식,TIGER,True,False,False
225130,4,KINDEX 골드선물 레버리지(합성 H),18335,5,-355,-1.9,,-5.3911,36505,669,275,해외 주식,KINDEX,False,True,True
253250,3,KOSEF 200선물레버리지,24950,2,405,1.65,25000.0,91.9077,8082,200,274,국내 파생,KOSEF,False,True,False
200250,4,KOSEF 인도Nifty50(합성),15420,2,325,2.15,,23.1742,54093,830,270,해외 주식,KOSEF,False,False,False
363510,6,SMART KIS단기통안채,100185,2,15,0.01,100180.0,0.1099,15,1,267,채권,SMART,False,False,False
279530,2,KODEX 고배당,8780,2,75,0.86,8833.0,14.1639,4293,37,263,국내 업종/테마,KODEX,False,False,False
272910,6,KINDEX 중장기국공채액티브,102465,2,35,0.03,102479.0,-0.0147,2001,205,263,채권,KINDEX,False,False,False
139220,2,TIGER 200 건설,2825,2,80,2.91,2832.0,43.342,557309,1557,262,국내 업종/테마,TIGER,False,False,False
266420,2,KODEX 헬스케어,21810,5,-205,-0.93,21935.0,20.202,33351,724,262,국내 업종/테마,KODEX,False,False,False
227830,1,ARIRANG 코스피,32080,2,285,0.9,32186.0,37.3552,3136,101,257,국내 시장지수,ARIRANG,False,False,False
228800,2,TIGER 여행레저,4525,2,40,0.89,4521.0,18.9655,265360,1193,257,국내 업종/테마,TIGER,False,False,False
332620,6,ARIRANG 미국장기우량회사채,98570,5,-415,-0.42,,-1.3996,508,49,256,채권,ARIRANG,False,False,False
276970,4,KODEX 미국S&P고배당커버드콜(합성 H),9615,2,30,0.31,,12.6321,6290,60,250,해외 주식,KODEX,False,False,True
211900,2,KODEX 배당성장,15145,2,215,1.44,15160.0,25.6734,10676,160,250,국내 업종/테마,KODEX,False,False,False
244580,2,KODEX 바이오,16320,5,-100,-0.61,16441.0,27.2868,67065,1085,248,국내 업종/테마,KODEX,False,False,False
309230,2,KINDEX 미국WideMoat가치주,14295,2,205,1.45,,16.9294,14327,203,243,국내 업종/테마,KINDEX,False,False,False
227540,2,TIGER 200 헬스케어,29300,5,-180,-0.61,29309.0,15.6078,8258,240,240,국내 업종/테마,TIGER,False,False,False
266410,2,KODEX 필수소비재,9810,2,40,0.41,9815.0,14.8061,40218,393,235,국내 업종/테마,KODEX,False,False,False
278620,6,ARIRANG 단기채권액티브,105890,2,10,0.01,105891.0,0.2034,114,12,234,채권,ARIRANG,False,False,False
182490,6,TIGER 단기선진하이일드(합성 H),12235,2,75,0.62,,4.6471,1338,16,232,채권,TIGER,False,False,True
236350,4,TIGER 인도니프티50레버리지(합성),17810,2,565,3.28,,53.9045,40707,715,232,해외 주식,TIGER,False,True,False
329650,7,KODEX TRF3070,10905,2,35,0.32,10870.0,4.8721,29069,316,229,기타,KODEX,False,False,False
243890,2,TIGER 200에너지화학레버리지,26915,2,275,1.03,26995.0,153.7142,39581,1056,229,국내 업종/테마,TIGER,False,True,False
292730,1,FOCUS KRX300,19980,2,195,0.99,20024.0,38.3566,23,0,220,국내 시장지수,FOCUS,False,False,False
117460,2,KODEX 에너지화학,20830,2,195,0.94,20900.0,54.5692,31687,657,219,국내 업종/테마,KODEX,False,False,False
332610,6,ARIRANG 미국단기우량회사채,94820,2,190,0.2,,-1.6167,80,7,218,채권,ARIRANG,False,False,False
306950,3,KODEX KRX300레버리지,21785,2,335,1.56,21829.0,87.664,13904,300,218,국내 파생,KODEX,False,True,False
228790,2,TIGER 화장품,3675,2,10,0.27,3670.0,13.6434,218426,797,217,국내 업종/테마,TIGER,False,False,False
367740,2,HANARO Fn5G산업,12990,2,225,1.76,13007.0,31.2596,36402,470,214,국내 업종/테마,HANARO,False,False,False
139270,2,TIGER 200 금융,6120,5,-5,-0.08,6125.0,9.2774,81576,499,214,국내 업종/테마,TIGER,False,False,False
319640,4,TIGER 골드선물(H),13375,5,-130,-0.96,,-2.1377,23541,315,214,해외 주식,TIGER,False,False,True
237370,7,KODEX 배당성장채권혼합,11880,2,60,0.51,11875.0,7.8467,5927,70,214,기타,KODEX,False,False,False
285690,2,FOCUS ESG리더스,10850,2,110,1.02,10902.0,33.2506,387,4,212,국내 업종/테마,FOCUS,False,False,False
152380,6,KODEX 국채선물10년,70730,5,-30,-0.04,70735.0,-1.0073,5962,421,204,채권,KODEX,False,False,False
304660,6,KODEX 미국채울트라30년선물(H),12730,5,-55,-0.43,,-3.8361,15093,191,204,채권,KODEX,False,False,True
337150,2,KODEX 200exTOP,14485,2,175,1.22,14491.0,35.2551,1022,14,203,국내 업종/테마,KODEX,False,False,False
270800,2,KBSTAR KQ고배당,15330,2,130,0.86,15375.0,24.9486,52116,792,199,국내 업종/테마,KBSTAR,False,False,False
225800,3,KOSEF 미국달러선물레버리지,8600,5,-15,-0.17,8599.0,-3.3652,3513,30,199,국내 파생,KOSEF,False,True,False
108590,1,TREX 200,43435,2,390,0.91,43495.0,39.4847,31,1,195,국내 시장지수,TREX,False,False,False
138520,2,TIGER 삼성그룹펀더멘털,13030,2,55,0.42,13033.0,38.1789,16210,210,195,국내 업종/테마,TIGER,False,False,False
322410,2,HANARO 고배당,9085,2,25,0.28,9136.0,14.610999999999999,618,5,195,국내 업종/테마,HANARO,False,False,False
337120,2,KODEX Fn멀티팩터,14975,2,170,1.15,14961.0,37.1468,1826,27,195,국내 업종/테마,KODEX,False,False,False
114460,6,KINDEX 국고채3년,107370,2,80,0.07,107346.0,0.2101,49,5,193,채권,KINDEX,False,False,False
341850,7,TIGER KIS부동산인프라채권TR,5200,2,10,0.19,5204.0,-0.4794,3220,16,192,기타,TIGER,False,False,False
287180,4,ARIRANG 미국나스닥기술주,21000,2,425,2.07,,21.7095,27209,570,189,해외 주식,ARIRANG,False,False,False
230480,3,KOSEF 미국달러선물인버스2X,8880,2,25,0.28,8890.0,2.4884,1403,12,187,국내 파생,KOSEF,True,False,False
251590,2,ARIRANG 고배당저변동50,10120,2,90,0.9,10136.0,14.1718,3578,35,187,국내 업종/테마,ARIRANG,False,False,False
122090,1,ARIRANG 코스피50,30690,2,290,0.95,30722.0,41.9897,6472,197,184,국내 시장지수,ARIRANG,False,False,False
219900,4,KINDEX 중국본토CSI300레버리지(합성),6345,2,30,0.48,,39.0969,30985,197,184,해외 주식,KINDEX,False,True,False
138530,2,TIGER LG그룹+펀더멘털,11940,2,205,1.75,11979.0,47.0551,96157,1142,184,국내 업종/테마,TIGER,False,False,False
322400,2,HANARO e커머스,16540,2,285,1.75,16563.0,21.2155,35552,582,182,국내 업종/테마,HANARO,False,False,False
275290,2,KODEX MSCI밸류,12860,2,195,1.54,12849.0,35.0933,557,7,180,국내 업종/테마,KODEX,False,False,False
304760,1,HANARO KRX300,19720,2,250,1.28,19722.0,38.4976,187,3,177,국내 시장지수,HANARO,False,False,False
138910,5,KODEX 구리선물(H),6520,5,-40,-0.61,,14.9868,60873,397,176,원자재,KODEX,False,False,True
360140,2,KODEX 200롱코스닥150숏선물,11625,2,65,0.56,11631.0,12.5608,2018,23,174,국내 업종/테마,KODEX,False,False,False
218420,4,KODEX 미국S&P에너지(합성),5370,2,60,1.13,,36.5038,17422,92,169,해외 주식,KODEX,False,False,False
315270,2,TIGER 200커뮤니케이션서비스,29575,2,650,2.25,29626.0,23.8492,616,18,166,국내 업종/테마,TIGER,False,False,False
365040,1,TIGER AI코리아그로스액티브,13660,2,75,0.55,13715.0,38.1993,4372,59,164,국내 시장지수,TIGER,False,False,False
143460,2,KINDEX 밸류대형,10195,2,110,1.09,10190.0,40.2642,74,0,163,국내 업종/테마,KINDEX,False,False,False
256440,4,KINDEX 인도네시아MSCI(합성),9010,2,20,0.22,,21.159000000000002,27590,247,162,해외 주식,KINDEX,False,False,False
253160,3,ARIRANG 200선물인버스2X,4100,5,-75,-1.8,4091.0,-51.1125,296886,1225,162,국내 파생,ARIRANG,True,False,False
272230,2,KINDEX 스마트밸류,16010,2,180,1.14,16005.0,38.9205,1403,22,160,국내 업종/테마,KINDEX,False,False,False
153270,1,KOSEF 코스피100,33145,2,340,1.04,33151.0,39.6849,117,3,159,국내 시장지수,KOSEF,False,False,False
168300,1,KTOP 코스피50,30970,2,160,0.52,31124.0,41.2978,250,7,158,국내 시장지수,KTOP,False,False,False
280320,4,KINDEX 미국IT인터넷S&P(합성 H),19740,2,430,2.23,,17.4931,4227,83,158,해외 주식,KINDEX,False,False,True
183700,7,KBSTAR 채권혼합,64835,2,210,0.32,64833.0,11.4089,120,7,156,기타,KBSTAR,False,False,False
